panchayat_id,panchayat_name,village_name,block_name,district_name,centroid_lat,centroid_lon,dist_to_coast_km,dist_to_water_km,historical_rain_bias,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,aspect_mean,lulc_tree_pct,lulc_shrub_pct,lulc_grass_pct,lulc_crop_pct,lulc_urban_pct,lulc_water_pct,lulc_bare_pct,block_rain_mean,block_temp_max,block_temp_min,layer_b_deviation,layer_c_residual,downscaled_rain_pred,rain_ci_lower_80,rain_ci_upper_80,rain_ci_lower_95,rain_ci_upper_95,uncertainty_std,confidence_level,dominant_factor,downscaled_tmax_pred,downscaled_tmin_pred,downscaled_rh_pred
MH_487_551098,Bhavli Kh,Bhavli Kh,Igatpuri,Nashik,19.64294,73.59913,88.0,33.81,37.0,774.5,54.2,709.4,839.5,14.5,211.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.9609711007103339,23.13,18.51,27.74,14.3,29.9,4.28,MODERATE,Orographic Sahyadri Elevation Gradient,28.0,19.5,69.3
MH_487_551093,Pimpri Sadroddin,Pimpri Sadroddin,Igatpuri,Nashik,19.67517,73.55401,84.73,29.55,42.4,803.0,56.2,735.5,870.4,14.5,209.3,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.85,-1.990182896288505,23.79,20.2,27.46,15.05,31.59,4.07,MODERATE,Orographic Sahyadri Elevation Gradient,27.8,19.3,69.5
MH_487_551094,Fangul Gavhan,Fangul Gavhan,Igatpuri,Nashik,19.65585,73.56094,84.67,31.76,41.8,797.9,55.9,730.9,865.0,14.5,209.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-2.015955357007407,23.26,19.12,27.28,14.23,31.08,4.18,MODERATE,Orographic Sahyadri Elevation Gradient,27.8,19.3,69.3
MH_487_551092,Nandgaonsado,Nandgaonsado,Igatpuri,Nashik,19.66435,73.58612,87.47,31.21,38.8,783.2,54.8,717.5,849.0,14.5,210.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.929275803301224,23.58,18.67,27.58,14.45,32.11,4.4,MODERATE,Orographic Sahyadri Elevation Gradient,27.9,19.4,69.4
MH_487_551097,Manwede,Manwede,Igatpuri,Nashik,19.63078,73.58948,86.63,34.94,38.3,779.7,54.6,714.2,845.2,14.5,210.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-2.0089031770408154,22.85,18.06,27.84,13.83,31.04,4.42,MODERATE,Orographic Sahyadri Elevation Gradient,27.9,19.4,69.1
MH_487_551095,Borli,Borli,Igatpuri,Nashik,19.63276,73.57183,84.93,34.44,40.6,790.4,55.3,724.0,856.7,14.5,210.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-2.0474631688871483,22.87,18.86,26.83,14.14,31.01,4.2,MODERATE,Orographic Sahyadri Elevation Gradient,27.9,19.4,69.1
MH_487_551104,Jamunde,Jamunde,Igatpuri,Nashik,19.61161,73.59493,86.58,37.14,37.6,775.6,54.3,710.4,840.7,14.5,211.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-2.047670854371865,23.0,19.06,27.07,13.59,30.81,4.27,MODERATE,Orographic Sahyadri Elevation Gradient,28.0,19.5,69.2
MH_487_551091,Taloshi,Taloshi,Igatpuri,Nashik,19.67421,73.60656,89.85,30.62,35.9,771.4,54.0,706.6,836.2,14.5,211.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8970291365539431,23.19,18.94,27.38,13.59,30.73,4.45,MODERATE,Orographic Sahyadri Elevation Gradient,28.0,19.5,69.3
MH_487_551103,Gavhande,Gavhande,Igatpuri,Nashik,19.62776,73.61304,88.9,35.79,34.9,765.4,53.6,701.1,829.7,14.5,211.7,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.06,-1.9759360318529982,22.93,18.79,27.34,14.36,30.95,4.16,MODERATE,Orographic Sahyadri Elevation Gradient,28.0,19.5,69.2
MH_487_551090,Talogha,Talogha,Igatpuri,Nashik,19.67789,73.62255,91.57,30.71,33.3,762.0,53.3,698.0,825.9,14.5,212.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0,22.5,29.5,21.0,3.41,-1.8898738459859405,23.59,19.85,26.73,14.48,31.72,4.24,MODERATE,Orographic Sahyadri Elevation Gradient,28.1,19.6,69.4
