panchayat_id,panchayat_name,village_name,block_name,district_name,centroid_lat,centroid_lon,dist_to_coast_km,dist_to_water_km,historical_rain_bias,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,aspect_mean,lulc_tree_pct,lulc_shrub_pct,lulc_grass_pct,lulc_crop_pct,lulc_urban_pct,lulc_water_pct,lulc_bare_pct,block_rain_mean,block_temp_max,block_temp_min,layer_b_deviation,layer_c_residual,downscaled_rain_pred,rain_ci_lower_80,rain_ci_upper_80,rain_ci_lower_95,rain_ci_upper_95,uncertainty_std,confidence_level,dominant_factor,forecast_source,forecast_status,forecast_issued_date,forecast_valid_date,forecast_source_url,observed_24h_mm,observed_24h_date,observed_24h_status,downscaled_tmax_pred,downscaled_tmin_pred,downscaled_rh_pred
MH_PUNE_556846,Korle,Korle,Bhor,Pune,18.04678,73.74579,74.21,54.85,-0.8,981.5,78.5,863.7,1099.2,3.0,208.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.7,-2.53184310589918,21.77,17.59,25.97,13.81,27.69,3.82,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,26.6,18.1,68.7
MH_PUNE_556864,Varodi Daymukh,Varodi Daymukh,Bhor,Pune,18.03939,73.83003,82.34,54.59,-2.3,895.1,71.6,787.7,1002.5,3.0,211.7,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,1.26,-2.9181031720907677,17.83,14.66,21.08,10.06,24.78,3.62,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.2,18.7,67.1
MH_PUNE_556848,Chikhalgaon,Chikhalgaon,Bhor,Pune,18.03692,73.79071,78.31,55.18,-1.6,748.1,59.8,658.4,837.8,3.0,210.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,1.26,-2.7392990116225926,17.96,14.3,21.56,9.97,24.88,3.71,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.2,19.7,67.2
MH_PUNE_556849,Ravdi,Ravdi,Bhor,Pune,18.04537,73.80746,80.29,54.08,-1.9,812.7,65.0,715.2,910.2,3.0,210.9,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,1.26,-2.81712176320329,18.08,13.75,21.65,9.98,25.61,3.9,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.7,19.2,67.2
MH_PUNE_556863,Varodi Kh,Varodi Kh,Bhor,Pune,18.04496,73.82292,81.82,54.01,-2.2,848.9,67.9,747.0,950.7,3.0,211.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,1.26,-2.8870278319270666,17.75,13.5,22.19,9.73,25.03,3.92,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.5,19.0,67.1
MH_PUNE_556847,Titeghar,Titeghar,Bhor,Pune,18.03558,73.76956,76.15,55.63,-1.3,755.4,60.4,664.8,846.0,3.0,209.5,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,1.26,-2.6419058957136645,18.05,14.5,21.48,10.29,25.2,3.73,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.1,19.6,67.2
MH_PUNE_556865,Varodi Bk,Varodi Bk,Bhor,Pune,18.0415,73.84041,83.46,54.33,-2.5,900.1,72.0,792.1,1008.1,3.0,212.1,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,1.26,-2.9652300181914995,17.85,14.34,21.5,9.44,24.81,3.8,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.2,18.7,67.1
MH_PUNE_556808,Umbarde,Umbarde,Bhor,Pune,18.11551,73.61093,64.73,52.55,8.5,607.9,48.6,535.0,680.8,14.0,203.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.71,-1.808024881973255,22.17,18.38,25.92,13.6,28.87,3.96,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,29.2,20.7,68.9
MH_PUNE_556809,Shirgaon,Shirgaon,Bhor,Pune,18.09569,73.62267,64.68,53.93,7.3,726.7,58.1,639.5,813.8,14.0,204.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.73,-1.8890058158017,22.25,18.56,26.26,14.55,29.46,3.71,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.4,19.9,68.9
MH_PUNE_556623,Kelad,Kelad,Velhe,Pune,18.2087,73.58479,68.58,45.38,10.9,676.7,54.1,595.5,757.8,14.0,202.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.54,-1.5498311632137869,22.62,19.33,25.29,14.48,29.92,3.78,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.7,20.2,69.0
MH_PUNE_556625,Gugulshi,Gugulshi,Velhe,Pune,18.2122,73.54799,65.92,47.59,14.4,763.5,61.1,671.9,855.2,14.0,201.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.57,-1.2558948568720294,22.82,18.8,27.05,14.44,28.7,3.79,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.1,19.6,69.1
MH_PUNE_556582,Chandar,Chandar,Velhe,Pune,18.28728,73.51395,69.47,44.56,17.7,741.5,59.3,652.5,830.4,14.0,200.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-0.7353506880133794,23.33,19.58,27.87,15.84,30.16,3.68,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.3,19.8,69.3
MH_PUNE_556656,Adavali,Adavali,Velhe,Pune,18.26603,73.76628,87.66,30.65,-1.2,643.5,51.5,566.2,720.7,3.0,209.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.64,-2.972081075228787,17.22,13.73,20.69,9.79,23.58,3.59,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.9,20.4,66.9
MH_PUNE_556602,Gevhande,Gevhande,Velhe,Pune,18.28283,73.5829,74.03,39.36,11.1,794.8,63.6,699.4,890.2,14.0,202.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-1.4343504251704486,22.83,18.47,27.28,14.76,28.87,3.68,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.9,19.4,69.1
MH_PUNE_556583,Mohari,Mohari,Velhe,Pune,18.27145,73.52135,68.65,45.04,17.0,796.4,63.7,700.9,892.0,14.0,200.3,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-0.8654778378802059,23.14,18.88,27.12,15.99,29.57,3.65,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.9,19.4,69.3
MH_PUNE_556601,Charhat Wadi,Charhat Wadi,Velhe,Pune,18.27881,73.61099,75.84,37.63,8.5,876.8,70.1,771.6,981.9,14.0,203.6,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,0.85,-1.7211200799666158,18.49,13.64,22.7,10.7,25.55,3.79,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.4,18.9,67.4
MH_PUNE_556606,Harpud,Harpud,Velhe,Pune,18.26385,73.55133,70.19,43.23,14.1,843.0,67.4,741.9,944.1,14.0,201.4,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.14,-1.1664525320856316,22.45,17.54,26.11,14.92,29.18,3.7,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,27.6,19.1,69.0
MH_PUNE_556605,Varoti Bk,Varoti Bk,Velhe,Pune,18.25702,73.56744,70.84,42.55,12.6,743.5,59.5,654.3,832.8,14.0,202.0,48.0,18.0,8.0,18.0,3.0,5.0,0.0,20.0,29.5,21.0,4.56,-1.3306841064838144,22.64,19.21,26.88,15.15,29.59,3.66,MODERATE,Orographic Sahyadri Elevation Gradient,Manual demo override,MANUAL_OVERRIDE,,2026-09-09,,,,NOT_REQUESTED,28.3,19.8,69.1
