panchayat_id,panchayat_name,village_name,block_name,district_name,centroid_lat,centroid_lon,dist_to_coast_km,dist_to_water_km,historical_rain_bias,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean,aspect_mean,lulc_tree_pct,lulc_shrub_pct,lulc_grass_pct,lulc_crop_pct,lulc_urban_pct,lulc_water_pct,lulc_bare_pct
MH_487_551455,Mamdapur,Mamdapur,Yevla,Nashik,20.14253,74.54449,190.49,16.52,-15.0,470.7,32.9,431.2,510.1,3.2,250.9,12.0,14.0,10.0,58.0,4.0,2.0,0.0
MH_487_551429,Deshmane Bk,Deshmane Bk,Yevla,Nashik,20.05804,74.3154,165.93,20.34,-11.6,498.2,34.9,456.3,540.0,3.2,241.2,12.0,14.0,10.0,58.0,4.0,2.0,0.0
MH_487_551428,Jaulke,Jaulke,Yevla,Nashik,20.08183,74.34169,168.83,18.88,-12.2,495.0,34.6,453.5,536.5,3.2,242.4,12.0,14.0,10.0,58.0,4.0,2.0,0.0
MH_487_551098,Bhavli Kh,Bhavli Kh,Igatpuri,Nashik,19.64294,73.59913,88.0,33.81,37.0,774.5,54.2,709.4,839.5,14.5,211.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551093,Pimpri Sadroddin,Pimpri Sadroddin,Igatpuri,Nashik,19.67517,73.55401,84.73,29.55,42.4,803.0,56.2,735.5,870.4,14.5,209.3,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551094,Fangul Gavhan,Fangul Gavhan,Igatpuri,Nashik,19.65585,73.56094,84.67,31.76,41.8,797.9,55.9,730.9,865.0,14.5,209.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551092,Nandgaonsado,Nandgaonsado,Igatpuri,Nashik,19.66435,73.58612,87.47,31.21,38.8,783.2,54.8,717.5,849.0,14.5,210.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551097,Manwede,Manwede,Igatpuri,Nashik,19.63078,73.58948,86.63,34.94,38.3,779.7,54.6,714.2,845.2,14.5,210.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551095,Borli,Borli,Igatpuri,Nashik,19.63276,73.57183,84.93,34.44,40.6,790.4,55.3,724.0,856.7,14.5,210.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551104,Jamunde,Jamunde,Igatpuri,Nashik,19.61161,73.59493,86.58,37.14,37.6,775.6,54.3,710.4,840.7,14.5,211.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551091,Taloshi,Taloshi,Igatpuri,Nashik,19.67421,73.60656,89.85,30.62,35.9,771.4,54.0,706.6,836.2,14.5,211.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551103,Gavhande,Gavhande,Igatpuri,Nashik,19.62776,73.61304,88.9,35.79,34.9,765.4,53.6,701.1,829.7,14.5,211.7,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551090,Talogha,Talogha,Igatpuri,Nashik,19.67789,73.62255,91.57,30.71,33.3,762.0,53.3,698.0,825.9,14.5,212.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551096,Waghyachiwadi,Waghyachiwadi,Igatpuri,Nashik,19.62456,73.57243,84.72,35.36,40.5,789.6,55.3,723.3,856.0,14.5,210.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551105,Kurungwadi,Kurungwadi,Igatpuri,Nashik,19.60888,73.62907,89.95,38.25,32.2,755.0,52.8,691.6,818.3,14.5,212.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551099,Kaluste,Kaluste,Igatpuri,Nashik,19.65201,73.63224,91.61,33.76,31.7,755.0,52.8,691.6,818.4,14.5,212.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551102,Nirpan,Nirpan,Igatpuri,Nashik,19.63783,73.65177,93.1,35.93,3.3,742.6,52.0,680.2,805.0,14.5,213.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551100,Bharwaj,Bharwaj,Igatpuri,Nashik,19.66025,73.65508,94.17,33.75,3.3,741.7,51.9,679.4,803.9,14.5,213.5,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551101,Manjargaon,Manjargaon,Igatpuri,Nashik,19.65782,73.67119,95.69,34.68,2.9,731.9,51.2,670.5,793.3,14.5,214.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551106,Ambewadi,Ambewadi,Igatpuri,Nashik,19.61169,73.6675,93.92,39.24,3.0,732.0,51.2,670.6,793.5,14.5,214.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551107,Khadked,Khadked,Igatpuri,Nashik,19.61785,73.69353,96.73,39.7,2.4,716.7,50.2,656.4,776.9,14.5,215.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551125,Kanadwadi,Kanadwadi,Igatpuri,Nashik,19.64879,73.68956,97.24,36.43,2.5,720.5,50.4,660.0,780.9,14.5,215.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551108,Indore,Indore,Igatpuri,Nashik,19.62467,73.71219,98.82,39.91,2.0,705.8,49.4,646.5,765.1,14.5,215.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551124,Pardeshiwadi,Pardeshiwadi,Igatpuri,Nashik,19.67419,73.69114,98.24,34.03,2.4,720.7,50.4,660.2,781.1,14.5,215.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551138,Ramnagar,Ramnagar,Igatpuri,Nashik,19.6336,73.75313,103.21,39.82,1.1,681.6,47.7,624.4,738.9,14.5,217.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551134,Sonoshi,Sonoshi,Igatpuri,Nashik,19.65626,73.77528,106.11,37.14,0.6,669.4,46.9,613.1,725.6,14.5,218.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551133,Maidara Dhanoshi,Maidara Dhanoshi,Igatpuri,Nashik,19.67449,73.78941,108.08,35.08,0.2,661.7,46.3,606.1,717.3,14.5,219.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551137,Wasali,Wasali,Igatpuri,Nashik,19.63739,73.73714,101.7,39.6,1.4,691.4,48.4,633.3,749.5,14.5,217.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551135,Barshingave,Barshingave,Igatpuri,Nashik,19.65344,73.75663,104.14,37.59,1.0,680.4,47.6,623.3,737.5,14.5,217.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551126,Khed,Khed,Igatpuri,Nashik,19.66018,73.71128,99.78,36.44,2.0,707.9,49.6,648.4,767.5,14.5,215.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551127,Adharwad,Adharwad,Igatpuri,Nashik,19.68402,73.73472,102.91,34.51,1.5,695.0,48.6,636.6,753.3,14.5,216.9,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551089,Avachitwadi,Avachitwadi,Igatpuri,Nashik,19.67735,73.6445,93.72,31.57,29.6,748.8,52.4,685.9,811.7,14.5,213.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_551136,Rahulnagar,Rahulnagar,Igatpuri,Nashik,19.65539,73.74719,103.25,37.48,1.2,686.2,48.0,628.6,743.8,14.5,217.4,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550859,Mulvad,Mulvad,Trimbakeshwar,Nashik,20.07584,73.28617,59.29,29.62,18.0,981.7,68.7,899.3,1064.1,14.5,198.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550855,Berwal,Berwal,Trimbakeshwar,Nashik,20.11415,73.31123,62.8,29.96,22.1,968.4,67.8,887.0,1049.8,14.5,199.1,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550854,Ozar Khed,Ozar Khed,Trimbakeshwar,Nashik,20.12497,73.26692,58.67,34.33,15.2,995.5,69.7,911.8,1079.1,14.5,197.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550853,Kadegahan,Kadegahan,Trimbakeshwar,Nashik,20.13861,73.28455,60.88,33.84,17.8,985.5,69.0,902.7,1068.3,14.5,198.0,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550864,Rayate,Rayate,Trimbakeshwar,Nashik,20.07545,73.32335,63.09,26.33,24.1,959.4,67.2,878.7,1040.0,14.5,199.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550874,Vatakapada,Vatakapada,Trimbakeshwar,Nashik,20.05276,73.34046,64.44,23.44,27.0,948.1,66.4,868.4,1027.8,14.5,200.3,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550873,Bhagohol,Bhagohol,Trimbakeshwar,Nashik,20.0717,73.34739,65.49,24.05,28.2,944.8,66.1,865.5,1024.1,14.5,200.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550865,Bhutmokhada,Bhutmokhada,Trimbakeshwar,Nashik,20.08388,73.34739,65.73,24.9,28.2,945.3,66.2,865.9,1024.8,14.5,200.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550871,Gavatha,Gavatha,Trimbakeshwar,Nashik,20.06168,73.39725,70.45,19.38,36.4,914.4,64.0,837.6,991.2,14.5,202.7,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550866,Kotambi Harsul,Kotambi Harsul,Trimbakeshwar,Nashik,20.10677,73.36093,67.64,25.61,30.6,938.2,65.7,859.4,1017.1,14.5,201.2,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550872,Murambi,Murambi,Trimbakeshwar,Nashik,20.06012,73.37138,67.76,21.29,32.3,929.9,65.1,851.8,1008.0,14.5,201.6,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550870,Rautmal,Rautmal,Trimbakeshwar,Nashik,20.07375,73.39979,70.92,20.16,36.8,913.4,63.9,836.8,990.1,14.5,202.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0
MH_487_550849,Hatlondhi,Hatlondhi,Trimbakeshwar,Nashik,20.13195,73.37559,69.8,26.75,33.0,930.6,65.1,852.5,1008.7,14.5,201.8,52.0,18.0,8.0,16.0,2.0,4.0,0.0
