id,name,lat,lon,elev,zone,district
MH_KON_01,Colaba_Mumbai,18.898,72.818,11,Konkan_Coastal,Mumbai
MH_KON_02,Santacruz_Mumbai,19.117,72.857,14,Konkan_Coastal,Mumbai Suburban
MH_KON_03,Ratnagiri,16.994,73.3,35,Konkan_Coastal,Ratnagiri
MH_KON_04,Dahanu,19.97,72.73,5,Konkan_Coastal,Palghar
MH_KON_05,Alibag,18.641,72.872,7,Konkan_Coastal,Raigad
MH_KON_06,Vengurla,15.864,73.635,25,Konkan_Coastal,Sindhudurg
MH_KON_07,Harnai,17.81,73.09,18,Konkan_Coastal,Ratnagiri
MH_SAH_01,Mahabaleshwar,17.924,73.658,1382,Sahyadri_Crest,Satara
MH_SAH_02,Igatpuri,19.697,73.563,605,Sahyadri_Crest,Nashik
MH_SAH_03,Trimbakeshwar,19.938,73.53,725,Sahyadri_Crest,Nashik
MH_SAH_04,Peth,20.258,73.504,690,Sahyadri_Crest,Nashik
MH_SAH_05,Surgana,20.573,73.621,530,Sahyadri_Crest,Nashik
MH_SAH_06,Lonavala,18.755,73.407,625,Sahyadri_Crest,Pune
MH_SAH_07,Gaganbawda,16.545,73.826,610,Sahyadri_Crest,Kolhapur
MH_SAH_08,Bhimashankar,19.072,73.535,1050,Sahyadri_Crest,Pune
MH_DEC_01,Nashik_City,19.997,73.789,565,Deccan_Plateau,Nashik
MH_DEC_02,Niphad_Grape_Belt,20.083,74.108,545,Deccan_Plateau,Nashik
MH_DEC_03,Sinnar,19.851,74.004,650,Deccan_Plateau,Nashik
MH_DEC_04,Dindori,20.201,73.834,615,Deccan_Plateau,Nashik
MH_DEC_05,Kalwan,20.485,73.978,580,Deccan_Plateau,Nashik
MH_DEC_06,Malegaon,20.553,74.529,438,Deccan_Plateau,Nashik
MH_DEC_07,Deola,20.463,74.184,520,Deccan_Plateau,Nashik
MH_DEC_08,Yeola,20.042,74.489,510,Deccan_Plateau,Nashik
MH_DEC_09,Nandgaon,20.312,74.658,535,Deccan_Plateau,Nashik
MH_DEC_10,Chandwad,20.329,74.242,670,Deccan_Plateau,Nashik
MH_DEC_11,Baglan_Satana,20.591,74.202,540,Deccan_Plateau,Nashik
MH_DEC_12,Pune_Shivajinagar,18.531,73.855,560,Deccan_Plateau,Pune
MH_DEC_13,Baramati,18.152,74.577,538,Deccan_Plateau,Pune
MH_DEC_14,Ahmednagar,19.095,74.748,657,Deccan_Plateau,Ahmednagar
MH_DEC_15,Solapur,17.659,75.906,458,Deccan_Plateau,Solapur
MH_DEC_16,Chhatrapati_Sambhajinagar,19.876,75.343,582,Deccan_Plateau,Aurangabad
MH_DEC_17,Jalgaon,21.007,75.562,209,Deccan_Plateau,Jalgaon
MH_VID_01,Nagpur_Airport,21.092,79.055,310,Vidarbha_East,Nagpur
MH_VID_02,Amravati,20.932,77.752,343,Vidarbha_East,Amravati
MH_VID_03,Akola,20.7,77.0,282,Vidarbha_East,Akola
MH_VID_04,Wardha,20.745,78.602,234,Vidarbha_East,Wardha
MH_VID_05,Chandrapur,19.954,79.296,189,Vidarbha_East,Chandrapur
MH_VID_06,Gondia,21.462,80.196,311,Vidarbha_East,Gondia
MH_VID_07,Yavatmal,20.389,78.13,445,Vidarbha_East,Yavatmal
MH_VID_08,Nanded,19.138,77.321,362,Vidarbha_East,Nanded
